product_name,series,mae_before,mae_after,mape_before,mape_after,improved
Avocados,STORE_039,2.6,2.6,1.11,1.11,False
Avocados,STORE_040,14.73,14.73,6.67,6.67,False
Avocados,STORE_041,15.47,15.47,5.56,5.56,False
Avocados,STORE_042,7.32,7.32,3.33,3.33,False
Avocados,STORE_043,21.59,21.59,2087.39,2087.39,False
Avocados,STORE_044,40.33,40.33,4006.89,4006.89,False
Avocados,STORE_045,5.36,5.36,2.22,2.22,False
Avocados,STORE_046,0.19,0.19,1.11,1.11,False
Avocados,STORE_047,0.0,0.0,0.0,0.0,False
Avocados,STORE_048,53.76,53.76,4836.53,4836.53,False
Avocados,STORE_049,0.38,0.38,1.11,1.11,False
Avocados,STORE_050,6.84,6.84,3.33,3.33,False
Bagels,Total,302.66,302.66,8466.67,8466.67,False
Bagels,Midwest,115.74,115.74,6016.39,6016.39,False
Bagels,Northeast,191.05,191.05,11219.84,11219.84,False
Bagels,Southeast,128.99,128.99,6842.05,6842.05,False
Bagels,Southwest,72.54,72.54,23.33,23.33,False
Bagels,West,98.11,98.11,3235.52,3235.52,False
Bagels,STORE_001,42.87,42.87,3109.34,3109.34,False
Bagels,STORE_002,37.76,37.76,1903.56,1903.56,False
Bagels,STORE_003,2.27,2.27,1.11,1.11,False
Bagels,STORE_004,6.37,6.37,2.22,2.22,False
Bagels,STORE_005,11.47,11.47,3.33,3.33,False
Bagels,STORE_006,50.83,50.83,4188.98,4188.98,False
Bagels,STORE_007,43.8,43.8,3131.63,3131.63,False
Bagels,STORE_008,3.4,3.4,2.22,2.22,False
Bagels,STORE_009,6.61,6.61,2.22,2.22,False
Bagels,STORE_010,17.31,17.31,679.92,679.92,False
Bagels,STORE_011,2.58,2.58,2.22,2.22,False
Bagels,STORE_012,0.0,0.0,0.0,0.0,False
Bagels,STORE_013,3.3,3.3,2.22,2.22,False
Bagels,STORE_014,19.76,19.76,1761.24,1761.24,False
Bagels,STORE_015,11.08,11.08,7.78,7.78,False
Bagels,STORE_016,17.53,17.53,1527.26,1527.26,False
Bagels,STORE_017,18.62,18.62,7.78,7.78,False
Bagels,STORE_018,7.83,7.83,3.33,3.33,False
Bagels,STORE_019,1.47,1.47,1.11,1.11,False
Bagels,STORE_020,21.44,21.44,1472.18,1472.18,False
Bagels,STORE_021,14.94,14.94,5.56,5.56,False
Bagels,STORE_022,0.12,0.12,1.11,1.11,False
Bagels,STORE_023,8.18,8.18,3.33,3.33,False
Bagels,STORE_024,46.44,46.44,2976.06,2976.06,False
Bagels,STORE_025,8.72,8.72,4.44,4.44,False
Bagels,STORE_026,7.02,7.02,3.33,3.33,False
Bagels,STORE_027,7.04,7.04,3.33,3.33,False
Bagels,STORE_028,14.93,14.93,6.67,6.67,False
Bagels,STORE_029,6.82,6.82,4.44,4.44,False
Bagels,STORE_030,11.29,11.29,4.44,4.44,False
Bagels,STORE_031,59.86,59.86,5270.83,5270.83,False
Bagels,STORE_032,10.66,10.66,5.56,5.56,False
Bagels,STORE_033,16.85,16.85,1214.54,1214.54,False
Bagels,STORE_034,2.81,2.81,1.11,1.11,False
Bagels,STORE_035,42.23,42.23,2583.39,2583.39,False
Bagels,STORE_036,3.21,3.21,2.22,2.22,False
Bagels,STORE_037,33.23,33.23,2554.94,2554.94,False
Bagels,STORE_038,10.07,10.07,3.33,3.33,False
Bagels,STORE_039,6.1,6.1,4.44,4.44,False
Bagels,STORE_040,3.42,3.42,1.11,1.11,False
Bagels,STORE_041,10.88,10.88,3.33,3.33,False
Bagels,STORE_042,0.53,0.53,1.11,1.11,False
Bagels,STORE_043,15.41,15.41,7.78,7.78,False
Bagels,STORE_044,25.05,25.05,1636.77,1636.77,False
Bagels,STORE_045,5.43,5.43,2.22,2.22,False
Bagels,STORE_046,29.77,29.77,2110.35,2110.35,False
Bagels,STORE_047,38.51,38.51,1802.75,1802.75,False
Bagels,STORE_048,26.28,26.28,7.78,7.78,False
Bagels,STORE_049,30.54,30.54,2226.37,2226.37,False
Bagels,STORE_050,11.61,11.61,3.33,3.33,False
